,endereço,bairro,point_location,latitude,longitude
83,"Av. Nova Independência, 1010 - Brooklin, São Paulo - SP, 04570-001, Brazil",Brooklin,"23 36m 0.14292s S, 46 41m 16.2244s W",-23.6000081,-46.6878647
84,"R. Dr. Neto de Araújo, 211 - Vila Mariana, São Paulo - SP, 04111-000, Brazil",Vila Mariana,"23 35m 14.5432s S, 46 37m 56.4564s W",-23.587501,-46.632405
85,"R. Maranhão, 261 - Higienópolis, São Paulo - SP, 01240-001, Brazil",Higienópolis,"23 32m 43.8266s S, 46 39m 19.5019s W",-23.5455194,-46.6554409
86,"R. Nilza Medeiros Martins, 479 - Jardim Colombo, São Paulo - SP, 05628-010, Brazil",Jardim Colombo,"23 36m 0.03132s S, 46 43m 51.9467s W",-23.5998122,-46.7313984
87,"R. Demétrio Ribeiro, 435 - Cidade Mãe do Céu, São Paulo - SP, 03332-000, Brazil",Cidade Mãe do Céu,"23 33m 9.03492s S, 46 34m 28.5445s W",-23.5525658,-46.5747897
88,"Condomínio Edifício Mont Martre - R. Iubatinga, 84 - Vila Andrade, São Paulo - SP, 05716-110, Brazil",Vila Andrade,"23 37m 36.9624s S, 46 44m 5.4294s W",-23.6269393,-46.734808
89,"R. Leopoldo Couto Magalhães Júnior, 556 - Itaim Bibi, São Paulo - SP, 04542-000, Brazil",Itaim Bibi,"23 35m 15.0144s S, 46 40m 42.3487s W",-23.5874835,-46.6783846
90,"R. Bartolomeu de Gusmão, 434 - Vila Mariana, São Paulo - SP, 04111-021, Brazil",Vila Mariana,"23 35m 12.5765s S, 46 37m 53.5865s W",-23.586803,-46.631595
91,"R. Borges de Figueiredo, 688 - Mooca, São Paulo - SP, 03110-001, Brazil",Mooca,"23 33m 38.8339s S, 46 36m 21.0049s W",-23.5608129,-46.6057828
92,"R. Urano, 388 - Aclimação, São Paulo - SP, 01529-010, Brazil",Aclimação,"23 34m 7.25628s S, 46 38m 1.61664s W",-23.5685433,-46.6337633
93,"R. Bela Cintra, 2063 - Consolação, São Paulo - SP, 01415-007, Brazil",Consolação,"23 33m 46.0278s S, 46 40m 6.20508s W",-23.5627398,-46.6684565
94,"Av. Jurucê, 876 - Indianópolis, São Paulo - SP, 04080-013, Brazil",Indianópolis,"23 36m 42.2165s S, 46 39m 30.8293s W",-23.611741,-46.658524
95,"Edifício Alameda Jau - Alameda Jaú, 585 - Cerqueira César, São Paulo - SP, 01420-001, Brazil",Cerqueira César,"23 33m 57.6569s S, 46 39m 18.2002s W",-23.5659481,-46.6551647
96,"R. Dr. Fadlo Haidar, 41 - Vila Olímpia, São Paulo - SP, 04545-050, Brazil",Vila Olímpia,"23 35m 45.3887s S, 46 40m 28.9322s W",-23.5959967,-46.6748306
97,"Rua Pedro de Toledo, 557 - Vila Clementino, São Paulo - SP, 04039-031, Brazil",Vila Clementino,"23 35m 55.0576s S, 46 38m 31.7465s W",-23.5983982,-46.6421498
98,"Edifício West Gate - R. Dr. Chibata Miyakoshi, 17 - Morumbi, São Paulo - SP, 05705-170, Brazil",Morumbi,"23 37m 34.774s S, 46 43m 24.6486s W",-23.6263042,-46.7234676
99,"R. José Maria Lisboa, 745 - Jardins, São Paulo - SP, 01423-001, Brazil",Jardins,"23 34m 2.6724s S, 46 39m 31.7304s W",-23.5674742,-46.658706
100,"Condomínio Edifício Debora Cristina - Praça Monteiro dos Santos, 20 - Vila Mariana, São Paulo - SP, 04117-095, Brazil",Vila Mariana,"23 35m 21.2201s S, 46 37m 47.3398s W",-23.589206,-46.6298121
101,"R. Prof. Lúcio Martins Rodrigues, 309 - Vila Sonia, São Paulo - SP, 05621-025, Brazil",Vila Sonia,"23 35m 50.7847s S, 46 43m 23.808s W",-23.5974059,-46.7234728
